short_name,long_name,sibelius,musescore,dorico,finale
Tpt 1,Trumpet 1,,Trumpet_1,,
Tpt 2,Trumpet 2,,Trumpet_2,,
Hn,Horn in F,,Horn,,
Trb,Trombone,,Trombone,,
Tba,Tuba,,Tuba,,
