short_name,long_name,sibelius,musescore,dorico,finale
Fl,Flute,,Flute,,
Ob,Oboe,,Oboe,,
Cl,Clarinet in B♭,,Clarinet,,
Hn,Horn in F,,Horn,,
Bsn,Bassoon,,Bassoon,,
